,temp,atemp,hum,windspeed,casual,registered,season_spring,season_summer,season_winter,yr_2019,mnth_Aug,mnth_Dec,mnth_Feb,mnth_Jan,mnth_July,mnth_June,mnth_Mar,mnth_May,mnth_Nov,mnth_Oct,mnth_Sept,holiday_Yes,weekday_Mon,weekday_Sat,weekday_Sun,weekday_Thu,weekday_Tue,weekday_Wed,workingday_Work Day,weathersit_Light Precipitation,weathersit_Misty Skies
247,0.9418130956718304,0.8961894151066663,1.0944844869713193,0.35214861698888117,0.5516560023045298,-0.9959999460547537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
335,-1.029247852064104,-0.9228968414990443,-0.06306076241915706,-1.1441310749639284,-0.8637754154281057,-0.009901242688492419,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
702,-0.14204377601938475,-0.07200150471809147,0.6959365318407466,-0.1633595826104112,-0.4499664368967669,1.499330106137327,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
440,0.06832872686370875,0.15053302824868023,0.8512497563479272,-1.0111337823040647,3.3576610546071413,0.6291312503728805,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
136,0.3290031643590645,0.35755469326663974,1.4285594842131386,1.2164037877226967,-0.2642641744463075,-0.15366772031478743,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
666,-0.3386910837829866,-0.2553488885977494,1.7245358654537168,2.297036865348761,-1.2527266107967843,-2.32283153472034,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
6,-1.6748698352039166,-1.6808819085841853,-0.9572353502998562,-0.23557911750902885,-1.039242120105705,-1.472899318973697,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
393,-1.203032639688639,-1.2859066075455297,-2.275572654152279,0.717777556025857,-0.43973087912390696,-0.6350004207376253,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
250,0.7254807519651583,0.46162507721020213,2.143465911994959,0.0855124366894883,-1.031931007410805,-1.2657995912917654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
181,1.2116358339525488,1.0601348939949446,-1.6777542380353387,-1.1193494688743417,0.5662782276943298,0.2712983875585339,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
660,0.23296521370288073,0.3067004330518228,0.04830225876667418,-1.2271133656464375,-0.025921900592568284,1.8603296314544553,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
145,1.1338889969841974,1.075752871053015,0.3003214035280657,0.17766151564397065,-0.1472863713279079,0.1465318849489299,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
