,temp,atemp,hum,windspeed,season_spring,season_summer,season_winter,yr_2019,mnth_Dec,mnth_July,mnth_Mar,mnth_May,mnth_Nov,mnth_Oct,mnth_Sept,holiday_Yes,weekday_Tue,weekday_Wed,weathersit_Light Precipitation,weathersit_Misty Skies,cnt
247,0.9418130956718304,0.8961894151066663,1.0944844869713193,0.35214861698888117,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3351
335,-1.029247852064104,-0.9228968414990443,-0.06306076241915706,-1.1441310749639284,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3940
702,-0.14204377601938475,-0.07200150471809147,0.6959365318407466,-0.1633595826104112,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6606
440,0.06832872686370875,0.15053302824868023,0.8512497563479272,-1.0111337823040647,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,7836
136,0.3290031643590645,0.35755469326663974,1.4285594842131386,1.2164037877226967,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4123
666,-0.3386910837829866,-0.2553488885977494,1.7245358654537168,2.297036865348761,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,22
6,-1.6748698352039166,-1.6808819085841853,-0.9572353502998562,-0.23557911750902885,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1510
393,-1.203032639688639,-1.2859066075455297,-2.275572654152279,0.717777556025857,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3243
250,0.7254807519651583,0.46162507721020213,2.143465911994959,0.0855124366894883,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1842
181,1.2116358339525488,1.0601348939949446,-1.6777542380353387,-1.1193494688743417,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5362
660,0.23296521370288073,0.3067004330518228,0.04830225876667418,-1.2271133656464375,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7466
145,1.1338889969841974,1.075752871053015,0.3003214035280657,0.17766151564397065,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4677
549,1.577496522889451,1.5558480019247876,-0.6755292463098805,-0.6870481182004411,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,7403
132,0.059180426078345526,0.08409170541969227,1.6073142237899396,-0.08856030123105485,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4105
581,1.4677388649966703,1.5480699278396521,0.12449245761131861,1.3910646543746004,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5464
450,-0.9789459174518422,-1.0204566435573543,-2.425027258181514,0.011247817793186626,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5102
41,-1.7156502929939794,-1.652007817981973,-0.9033050960082712,-1.0399253570165619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1746
108,0.022592710819787216,0.05291758019135109,0.21826555104763776,-0.37933649264036884,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3204
281,0.2146686121321543,0.26761839307396756,0.6519792953615599,-1.6427573066607681,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5511
56,-1.203032639688639,-1.2273484679109359,-0.6813878667878267,0.0029471827437618035,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1969
544,1.8244512531482098,1.8914304733435607,-1.0271871381433746,-0.2798090714197312,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5463
605,1.0058402254035843,0.9585562142296891,-0.5817561528735609,-0.9862987099661725,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7697
338,-0.6359532365369007,-0.5365157558644734,1.3523622522106564,-1.6593545667909944,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3811
539,1.3259648982965646,1.19672727292087,-1.0945858896921823,-0.5456967242428473,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6891
24,-1.526938463896026,-1.5220620444944581,-0.12548707137743886,-0.755939379142043,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1985
290,0.16893808397112683,0.2598155874337125,0.47029172896686716,-1.019380951105184,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4748
198,1.3442614998672915,1.3801797659097865,0.11570101031548126,0.3936918919222338,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4458
606,1.1247461840817288,1.0639497363721535,-0.3121470803626578,-1.4600805127316665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7713
371,-0.5947941148271075,-0.5559671239660922,-0.7253451032670134,-0.15495201506437573,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4521
292,-0.14204377601938475,-0.08763803044250129,0.010203642765433018,3.1534993303920538,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4195
110,-0.23350483234143962,-0.1657464643991924,-1.601564039190694,1.8567155774290394,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4189
82,-1.1893129324520413,-1.2975799015620126,1.2029076481814214,0.7677283985052455,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1865
51,-1.0887035753446235,-1.2157060883383524,-0.20958253963050083,1.6239769985553163,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1107
399,-1.303641996796057,-1.2858818759904098,1.0182872549688369,-0.8615352195453516,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2832
584,1.3625526135551234,1.4036252801632316,0.268088441162608,-1.0111872485523703,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7534
503,0.5393701793592639,0.5330188939519037,-1.2557647678351458,-1.3684086200433105,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8294
294,-0.43472903443916994,-0.3413405057488345,-0.03961221419169985,-1.2522304724441409,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,4308
653,-0.18320289772917786,-0.12275065582364984,-0.5377989163943742,-0.05519736228843976,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,7534
668,-0.7914414225907092,-0.7394690800652479,0.22413120468342126,-0.2631008688242709,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,5566
694,-1.0338247463982329,-0.8760861905462933,-0.6989707613795013,-1.8673155495437537,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,5087
212,1.4814585722332678,1.3762659973120992,-0.5905476001693982,-0.3960981614841347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4266
